id,old_region,new_region,disposition
05e9cf52-5ab4-44a0-9206-5632bbce22ce,"345 Byrnes Street, Mareeba","Cairns & Tropical North",tier1-live-spatial
1f42873b-6d12-4c94-8633-777aeff14c12,"70 Hunt Road, Peeramon","Cairns & Tropical North",tier1-live-spatial
f89942be-9f5c-4a10-b551-eaf81dab7e82,"216 Arnolds Rd, Byfield QLD 4703","Capricorn Coast",tier1-live-spatial
c8ec22be-e03b-4663-be09-99c6d8778f45,"9790 Cunningham Hwy, Tregony","Granite Belt",tier1-live-spatial
f6f0ccda-1a19-40b5-b6dc-9da2bef9efb9,"1531 Beechmont Rd, Beechmont","Scenic Rim",tier1-live-spatial
4fa14d4f-be38-4a5e-aa04-eb8014a5736a,"25 Forsythia Dr","Scenic Rim",tier1-live-spatial
ccd23158-9a44-49b0-af05-8c594dc7e82f,"298 Cainbable Creek Rd, Cainbable Queensland","Scenic Rim",tier1-live-spatial
24f2a71b-a71a-4413-ac7a-d3a5edc07ec4,"3009 Christmas Creek Rd, Lamington Queensland","Scenic Rim",tier1-live-spatial
61a2923c-6cdf-43e8-807a-4b9f834b328a,"312 Boyland Rd","Scenic Rim",tier1-live-spatial
d4ddea9c-8c6e-4796-aab2-6dce33a34f00,"3196 Christmas Creek Rd. Lamington","Scenic Rim",tier1-live-spatial
3a4ed325-a366-4f24-9a36-8d4318c18a84,"3338 Kerry Rd","Scenic Rim",tier1-live-spatial
fda434b9-c29a-40d7-b8cb-737c4d45c60b,"726 Green Hills Rd","Scenic Rim",tier1-live-spatial
34a97730-fad8-43e2-be43-cd8dfeceb957,"97 Cedar Glen Rd","Scenic Rim",tier1-live-spatial
c88f1415-74f6-48f5-b606-0fc075526088,"99 Alpine Terrace  Tamborine Mountain","Scenic Rim",tier1-live-spatial
86321507-4b2f-4ab8-9783-5e778e2e9dbc,"2/8 Venture Drive, Noosaville QLD","Sunshine Coast",tier1-live-spatial
46efe001-19f4-4035-8247-806c96e7284b,"Shop 10, Noosa Homemaker Centre, Thomas street, Noosaville, QLD","Sunshine Coast",tier1-live-spatial
4b3da4fc-0936-4cd3-8cd5-3a2d72600b65,"1-41 Pioneer Road, Yandina QLD","Sunshine Coast Hinterland",tier1-live-spatial
f0e6e951-2aa0-4db7-b9cc-1ed91479e6a7,"115 Wust Rd","Sunshine Coast Hinterland",tier1-live-spatial
e0270d72-0dcd-4fc5-ac61-cce5eb6a1277,"191 Old Peachester Road, Beerwah","Sunshine Coast Hinterland",tier1-live-spatial
0e970581-f82f-4573-a52c-712f4ba45c18,"198 Barrs Road, Glass House Mountains","Sunshine Coast Hinterland",tier1-live-spatial
f6a4010c-f1f5-4935-9537-71503486533c,"20 Kondalilla Falls Rd","Sunshine Coast Hinterland",tier1-live-spatial
fa5a000a-d249-4c71-b32d-d08c52c1114c,"233 Maleny Stanley River Rd","Sunshine Coast Hinterland",tier1-live-spatial
ee392d76-35ea-4b3d-a7df-600ef61bf750,"316 Brandenburg Rd","Sunshine Coast Hinterland",tier1-live-spatial
af7d154e-ebfc-4317-980f-55266dc3009e,"318 Western Ave","Sunshine Coast Hinterland",tier1-live-spatial
221efe5a-87ae-4ce9-8c16-905eb2f61bce,"35 Rose Gum Ln, Maleny QLD","Sunshine Coast Hinterland",tier1-live-spatial
ad2bb055-7ad6-4cc8-ba49-6e52a4554e3b,"36 Carruthers Rd","Sunshine Coast Hinterland",tier1-live-spatial
554c8219-95ef-43b2-86a4-1f1ddb79ac71,"396 Western Ave, Montville","Sunshine Coast Hinterland",tier1-live-spatial
00cfe985-4b17-417c-9125-d7913f0da087,"43 McCarthy Road, Maleny","Sunshine Coast Hinterland",tier1-live-spatial
597dd36d-90c1-4bc7-9426-c75f019b1172,"5/4-6 Little Main St","Sunshine Coast Hinterland",tier1-live-spatial
e3b3d54a-ffa0-4607-b4e9-65c4d0b0f0a4,"78 Narrows Road, Montville, Queensland","Sunshine Coast Hinterland",tier1-live-spatial
6cee8d69-f2f6-4c6e-ba65-7f5dd34a3488,"88 Irwin Road, Beerwah","Sunshine Coast Hinterland",tier1-live-spatial
1e22157f-2d2a-452f-879a-737c0aae3400,"Shop 3, 25 Maple Street Maleny QLD","Sunshine Coast Hinterland",tier1-live-spatial
81d09830-6c57-4651-a6ae-97bdcc3d5b79,"Visit us at 80 Howard Street, Nambour","Sunshine Coast Hinterland",tier1-live-spatial
74d1206a-8346-4fc1-ab8a-91fb52c9801e,"40 Flemming St","Toowoomba & Darling Downs",tier1-live-spatial
2f82c811-6f16-4ebe-8798-6cb76a771a49,"Crn New England Highway & Oxford Street, Crows Nest QLD","Toowoomba & Darling Downs",tier1-live-spatial
e6a65980-e7c1-43ac-93e2-fbb75c1e4935,"42-68 Palmer St South Townsville QLD 4810","Townsville",tier1-live-spatial
94edd075-4cee-4fdc-8c30-03abce3f6aae,"1 Seaworld Dr","Gold Coast",tier3-best-judgment
c8ce63cf-6d8b-410f-8895-124ea8c34bba,"13 Aranda Street, Slacks Creek","Slacks Creek",tier2-address-locality
719f2a2e-61a0-42ed-89d3-a310431897bb,"192 Syndicate Rd, allebudgera Valley Queensland","Tallebudgera Valley",tier3-best-judgment
b1c3617a-ba14-4bb9-8d7d-1a6840e9ad1a,"2/623 Main Rd","Wellington Point",tier2-address-locality
b671ada0-e130-4344-ad9b-12893e85c4ae,"2017 Gold Coast Hwy","Miami",tier2-address-locality
965d5d93-c344-4373-8b38-6fd65e301621,"21 Station St","Samford",tier2-address-locality
15769adf-0a9a-4b39-8b58-09d307315a9d,"22 Ironbark Rd","Daintree",tier2-address-locality
ba2a705a-caa9-47ed-9ec9-ceee5b822c2c,"26 Gray Street, New Farm","Brisbane",tier3-best-judgment
c7888cba-1eb5-4b62-8b61-1cdee8f74443,"28 Tomewin St","Currumbin",tier2-address-locality
8b7da7d0-962b-462e-8fa5-8aad39f55a87,"3-15 Jackman Street Southport Qld.","Southport",tier2-address-locality
fd814973-bf4f-4d7c-bc21-132d6f883e2c,"33 Ballow Street, Amity, Stradbroke Island","Amity",tier2-address-locality
c5cec9f2-9e9e-4998-92d1-4864290ba192,"4 Charles Ave Broadbeach, Gold Coast QLD","Broadbeach",tier2-address-locality
65ce8738-cb16-47d7-826d-9ab597fdf8f9,"4 Elizabeth St","Gold Coast",tier3-best-judgment
76e9558b-4ead-41e2-bce8-42b054a9136d,"60 Smith St",,tier3-null-undeterminable
2f80cca3-b225-4713-982f-d478c62c5a18,"65 Railway St","Mudgeeraba",tier2-address-locality
3aa4f078-b056-42a5-9680-526a9c27ee08,"Lot 1 Nelia Bunda Rd Nelia, 4823 Queensland","Nelia",tier2-address-locality
f06377d2-f142-4178-8237-f67fe0aafc3d,"Saltwater Creek Rd, Palm Groves, Queensland","Palm Grove",tier2-address-locality
3821e429-afc5-4429-a787-a3e7c58d4e36,"10 College Rd","Adelaide",tier1-live-spatial
9bddf09f-6374-459a-8dd8-8a26f14ca1b0,"1016 One Tree Hill Rd","Adelaide",tier1-live-spatial
1a0a2234-991a-4c41-a798-193eb0876e77,"11 Gawler St","Adelaide",tier1-live-spatial
de813c21-ca54-42d3-a033-bd8f8660114e,"11 Martin Rd","Adelaide",tier1-live-spatial
e53bffa7-8fea-452f-ac8c-823ba45f8778,"128 Jetty Rd","Adelaide",tier1-live-spatial
c4b664d6-87dd-4016-9fe2-07ba0c651876,"162 Flaxley Rd","Adelaide",tier1-live-spatial
bd8dc4cc-6bab-479b-a3c8-c0c1ef46b4ab,"17 Francis Rd","Adelaide",tier1-live-spatial
fcd6ef04-87a8-428b-a323-eea4f397f534,"2/74 Baden Terrace","Adelaide",tier1-live-spatial
ca8f37c9-575c-4beb-8e9b-82353d969051,"233 Morphett Street, Adelaide","Adelaide",tier1-live-spatial
f828e948-3055-4a04-887d-06b839e4551a,"253 Grange Rd","Adelaide",tier1-live-spatial
be206f10-3c4a-4808-8e38-4bd8a7574007,"26-28 Kangarilla Rd, McLaren Vale","Adelaide",tier1-live-spatial
9847989b-5bcf-4011-9724-340b71607b56,"285 Blewitt Springs Rd, Blewitt Springs","Adelaide",tier1-live-spatial
e486a7e7-6998-4c15-b3f4-2e4b9afd08d5,"3 Perseverance Rd","Adelaide",tier1-live-spatial
44b24ace-7d15-468a-b750-01bcc152c870,"306 Goodwood Road, Clarence Park, South Australia","Adelaide",tier1-live-spatial
